y_socm_A1_par_p_y:z,y_socm_A1_par_p_y:x,y_socm_A1_par_p_z:x,y_socm_A1_par_d_xy:yz,y_socm_A1_par_d_xy:xz,y_socm_A1_par_d_xy:x2-y2,y_socm_A1_par_d_yz:z2-r2,y_socm_A1_par_d_yz:xz,y_socm_A1_par_d_yz:x2-y2,y_socm_A1_par_d_z2-r2:xz,y_socm_A1_par_d_xz:x2-y2,y_socm_A1_perp_p_y:z,y_socm_A1_perp_p_y:x,y_socm_A1_perp_p_z:x,y_socm_A1_perp_d_xy:yz,y_socm_A1_perp_d_xy:xz,y_socm_A1_perp_d_xy:x2-y2,y_socm_A1_perp_d_yz:z2-r2,y_socm_A1_perp_d_yz:xz,y_socm_A1_perp_d_yz:x2-y2,y_socm_A1_perp_d_z2-r2:xz,y_socm_A1_perp_d_xz:x2-y2,y_socm_A2_par_p_y:z,y_socm_A2_par_p_y:x,y_socm_A2_par_p_z:x,y_socm_A2_par_d_xy:yz,y_socm_A2_par_d_xy:xz,y_socm_A2_par_d_xy:x2-y2,y_socm_A2_par_d_yz:z2-r2,y_socm_A2_par_d_yz:xz,y_socm_A2_par_d_yz:x2-y2,y_socm_A2_par_d_z2-r2:xz,y_socm_A2_par_d_xz:x2-y2,y_socm_A2_perp_p_y:z,y_socm_A2_perp_p_y:x,y_socm_A2_perp_p_z:x,y_socm_A2_perp_d_xy:yz,y_socm_A2_perp_d_xy:xz,y_socm_A2_perp_d_xy:x2-y2,y_socm_A2_perp_d_yz:z2-r2,y_socm_A2_perp_d_yz:xz,y_socm_A2_perp_d_yz:x2-y2,y_socm_A2_perp_d_z2-r2:xz,y_socm_A2_perp_d_xz:x2-y2
-0.0025422,-0.0005627,-0.0023766,-0.0021143,-0.0021399,-0.0071392,0.00204,-0.0085599,-0.0017216,0.0019192,-0.0018089,-0.0028871,-0.0008477,-0.0028801,-0.00196,-0.0019227,-0.008334,0.0025206,-0.0059323,-0.0019584,0.0025212,-0.001928,-0.0060157,-0.0043027,-0.0059678,-0.040473,-0.040144,-0.1613977,-0.1041079,-0.0392825,-0.0281281,-0.1097149,-0.0271629,-0.0061365,-0.0038001,-0.0061378,-0.0250222,-0.0253762,-0.2379858,-0.0972626,-0.0362632,-0.0238923,-0.0976589,-0.0238525
-0.0323211,-0.016806,-0.0323605,-0.0221531,-0.0218973,-0.061819,-0.0440224,-0.0407833,-0.0210035,-0.0439178,-0.0206483,-0.0326923,-0.0168134,-0.032741,-0.0214373,-0.0210878,-0.0640823,-0.0463532,-0.0397731,-0.0222605,-0.0462468,-0.0218471,-0.0062731,-0.0061563,-0.0062641,-0.0327895,-0.0340749,-0.1958979,-0.0753514,-0.0422824,-0.0261399,-0.0757702,-0.0271797,-0.0061929,-0.0061463,-0.0061817,-0.0308845,-0.0307755,-0.2264665,-0.0678746,-0.0386772,-0.0247951,-0.0683194,-0.0245133
-0.0294149,-0.0170078,-0.029461,-0.018041,-0.0188351,-0.0593701,-0.0469666,-0.03496,-0.0201614,-0.0474297,-0.0206837,-0.030136,-0.0174405,-0.0301696,-0.017249,-0.0169585,-0.0580825,-0.0437844,-0.0327485,-0.0180046,-0.0436259,-0.0176822,-0.0075508,-0.007849,-0.0075447,-0.0297081,-0.025003,-0.1200943,-0.0645052,-0.0332051,-0.0233268,-0.0642647,-0.0201687,-0.0067513,-0.0081027,-0.0067552,-0.0339773,-0.0337552,-0.1595761,-0.0706614,-0.0267357,-0.0335567,-0.0708316,-0.0334095
-0.0020137,-0.001003,-0.0028006,-0.0016517,-0.002154,-0.0083296,-0.0030681,-0.0108121,-0.0016082,0.0075588,-0.0004796,-0.0028404,-0.0012087,-0.0028352,-0.0019925,-0.0017016,-0.0098181,0.0041638,-0.0011559,-0.0020887,0.0036876,-0.0014368,-0.0066854,-0.0053838,-0.0076064,-0.0373199,-0.0408259,-0.121539,-0.0882231,-0.0512673,-0.0428003,-0.1163366,-0.0435142,-0.0074442,-0.0038133,-0.0074946,-0.0251397,-0.0257993,-0.2315878,-0.100512,-0.0181287,-0.0207474,-0.1006096,-0.020676
-0.0024532,-0.0013714,-0.0036291,-0.0010385,-0.0033726,-0.006119,-0.0043743,-0.0125365,-0.0024104,0.0131114,-0.001554,-0.0033278,-0.0010712,-0.0033182,-0.0016458,-0.0025461,-0.0082852,0.0062737,-0.001878,-0.0008384,0.0059312,-0.0016773,-0.0066255,-0.0062396,-0.0074896,-0.0523822,-0.0253576,-0.159012,-0.0813662,-0.0411159,-0.0189802,-0.1276736,-0.0269846,-0.0070126,-0.0038189,-0.0069846,-0.0107053,-0.0098939,-0.2056345,-0.1093016,-0.0183346,-0.0401304,-0.1085182,-0.0400908
-0.0269173,-0.0178696,-0.0280195,-0.0190706,-0.0249796,-0.0702988,-0.055733,-0.0390783,-0.0214501,-0.039748,-0.0160059,-0.0293384,-0.0196428,-0.0290209,-0.0181807,-0.0178527,-0.0630462,-0.0396515,-0.041172,-0.0181698,-0.0395892,-0.0172435,-0.0095415,-0.0088039,-0.0093582,-0.0260359,-0.0102877,-0.1255581,-0.0526666,-0.0375109,-0.0218216,-0.0706547,-0.0352892,-0.0086063,-0.0103685,-0.0089077,-0.0371493,-0.0372514,-0.1629214,-0.0729031,-0.032677,-0.0378231,-0.072829,-0.0374758
-0.0022585,-0.0010962,-0.0022967,-0.0023093,-0.0021451,-0.0078038,-0.0027617,-0.006058,-0.0014415,-0.0027292,-0.0012475,-0.0026146,-0.001262,-0.0026799,-0.0003344,-0.0003188,-0.006184,0.0030054,-0.0083405,-0.000337,0.0026778,-0.0003401,-0.0076529,-0.0064293,-0.007626,-0.0228411,-0.0245676,-0.1212406,-0.0646057,-0.0286723,-0.0295496,-0.0646882,-0.0316088,-0.0073943,-0.007063,-0.0073195,-0.0433488,-0.0443967,-0.1287711,-0.0850693,-0.0316494,-0.0431103,-0.0842207,-0.0441707
-0.0018221,-0.0011435,-0.0018451,-0.0024703,-0.0025612,-0.0080159,-0.0034698,-0.0067273,-0.0014624,-0.0034039,-0.0015518,-0.0020524,-0.0013232,-0.0020969,-0.000531,-0.0005596,-0.0069383,0.0018456,-0.0040328,-0.0007292,0.0017252,-0.000496,-0.0082538,-0.0063851,-0.0083361,-0.0202958,-0.0186042,-0.1198837,-0.0618173,-0.0334503,-0.0294103,-0.0623683,-0.0276319,-0.0082112,-0.0060365,-0.008286,-0.0360608,-0.0365243,-0.1322802,-0.083142,-0.0214496,-0.0362582,-0.0829964,-0.0365411
-0.0343707,-0.0169457,-0.0349292,-0.0215302,-0.0217645,-0.0685723,-0.0429008,-0.0407828,-0.0234151,-0.0438853,-0.0223446,-0.0348128,-0.0173906,-0.0347971,-0.0221343,-0.0221355,-0.069075,-0.0448765,-0.0390971,-0.0221996,-0.0448398,-0.02216,-0.0063792,-0.0056262,-0.0064171,-0.0276524,-0.0244545,-0.1953,-0.082115,-0.0438701,-0.0326785,-0.0737762,-0.0373148,-0.006419,-0.005663,-0.0064284,-0.0270502,-0.0269882,-0.2297053,-0.0731343,-0.0401551,-0.0271022,-0.0730828,-0.0270832
-0.0369901,-0.0209431,-0.0387973,-0.0229878,-0.0251187,-0.0635316,-0.0364254,-0.0370713,-0.0200565,-0.045622,-0.0204351,-0.03697,-0.0212893,-0.0386496,-0.0241868,-0.0231718,-0.0624052,-0.0366795,-0.0401798,-0.0174835,-0.0480784,-0.0240939,-0.0068283,-0.0062825,-0.00543,-0.0266925,-0.0292714,-0.1729035,-0.0902943,-0.0336686,-0.0331929,-0.0863932,-0.0332233,-0.0070843,-0.0072042,-0.0054445,-0.017883,-0.0359583,-0.1933009,-0.0842006,-0.0355183,-0.0408631,-0.0764299,-0.0243648
-0.0325921,-0.0212834,-0.0355257,-0.0188348,-0.0261961,-0.058376,-0.0603817,-0.029223,-0.0182951,-0.0569039,-0.0161722,-0.0343309,-0.0224246,-0.0364012,-0.0171477,-0.0201441,-0.0586492,-0.0348838,-0.036532,-0.0170915,-0.0460952,-0.0189476,-0.008683,-0.0072902,-0.0050181,-0.0264256,-0.0142714,-0.1254421,-0.0495131,-0.0260112,-0.0171813,-0.0646179,-0.0346888,-0.0077886,-0.0103526,-0.0061383,-0.0325644,-0.0310653,-0.1806948,-0.0806348,-0.0263851,-0.0314067,-0.0732929,-0.031481
-0.0019229,-0.0010026,-0.001946,-0.0028747,-0.0016478,-0.0064244,0.0009775,-0.0059584,-0.0008695,-0.0074253,-0.001612,-0.0019607,-0.0010398,-0.0019694,-0.0010913,-0.0009263,-0.0064898,0.0002526,-0.0023186,-0.0011932,0.0002556,-0.0010271,-0.0070223,-0.005354,-0.0068331,-0.0138096,-0.0268564,-0.1142475,-0.082946,-0.0324707,-0.0313701,-0.0478498,-0.0300632,-0.0068452,-0.0048011,-0.0068499,-0.0292247,-0.0291761,-0.1469989,-0.0815693,-0.0166535,-0.0292612,-0.0815236,-0.029255
-0.0308369,-0.0192621,-0.0321245,-0.0175522,-0.0224383,-0.0651235,-0.0529345,-0.032186,-0.0222311,-0.0437753,-0.0178609,-0.0322146,-0.0194678,-0.0321893,-0.0183441,-0.0183751,-0.0621428,-0.0464584,-0.0318779,-0.01841,-0.0464313,-0.0183988,-0.0080007,-0.0073894,-0.0076899,-0.0322713,-0.0221442,-0.1233285,-0.0608186,-0.0307888,-0.0225163,-0.0678021,-0.0318621,-0.0071364,-0.0074468,-0.007145,-0.0311808,-0.0311067,-0.1693231,-0.069001,-0.028478,-0.0311876,-0.0690418,-0.0310998
-0.0307699,-0.0213973,-0.0357707,-0.0190723,-0.0262563,-0.0743775,-0.045278,-0.0379312,-0.0169726,-0.0498297,-0.0207088,-0.0314742,-0.0220123,-0.0353126,-0.0183518,-0.0240543,-0.0716311,-0.0452639,-0.0363643,-0.018141,-0.0539048,-0.0227945,-0.008299,-0.0074237,-0.006759,-0.0307594,-0.0335631,-0.1695688,-0.0802589,-0.0443632,-0.0290039,-0.088503,-0.0297764,-0.0083943,-0.0073524,-0.006508,-0.0309749,-0.0318669,-0.1819036,-0.0725024,-0.0448627,-0.0269451,-0.0790387,-0.0323432
-0.0022038,-0.0010201,-0.0017539,-0.0026419,-0.0011064,-0.0073787,0.0007582,-0.0058376,-0.0012735,-0.0072786,-0.0026499,-0.0021416,-0.0012134,-0.002138,-0.0010379,-0.0010415,-0.0066644,0.0002032,-0.0036649,-0.0010407,0.0002014,-0.0010436,-0.0071182,-0.0052559,-0.0068568,-0.025428,-0.0327508,-0.1174564,-0.0793311,-0.0315145,-0.0317676,-0.0555998,-0.0254578,-0.0069027,-0.004867,-0.0069016,-0.0324285,-0.032394,-0.1430634,-0.0820135,-0.0225221,-0.0324309,-0.082032,-0.0323954
